,Japanese,Austrian,Italian,Chinese,French,German
Bifidobacterium_longum,NA,NA,0.012560259390529134,0.0014212008136679024,0.005596813320183242,0.01035954785954786
Bacteroides_uniformis,NA,NA,0.00703332171977984,NA,0.0023368840635512337,0.007238668373175208
Ruminococcus_obeum,NA,NA,0.009012912983894334,NA,NA,NA
Eubacterium_rectale,NA,NA,0.00918874249608436,NA,0.008767021531412521,NA
Bacteroides_ovatus,NA,NA,0.006401934866645021,NA,NA,0.016027610165393644
Alistipes_finegoldii,NA,NA,0.00550437021792454,NA,NA,NA
Bifidobacterium_adolescentis,NA,NA,0.007791157552403679,0.0036545697670933705,NA,NA
Anaerostipes_hadrus,NA,NA,0.00560562290972848,NA,NA,NA
Ruminococcus_bromii,NA,NA,0.000867155067155067,NA,NA,NA
Eubacterium_eligens,NA,NA,0.0071029194856815836,0.011571474754443034,0.014385953731474825,0.011137589663715274
Eggerthella_unclassified,NA,NA,0.005441310477517374,NA,NA,NA
Gordonibacter_pamelaeae,NA,NA,0.010621416376079218,NA,NA,NA
Bifidobacterium_catenulatum,NA,NA,0.006462191804036328,NA,0.008126103637451173,NA
Lachnospiraceae_bacterium_5_1_63FAA,NA,NA,NA,0.008711458654025608,NA,NA
Eubacterium_hallii,NA,NA,NA,0.00968552872318342,0.010296350016750343,NA
Coprococcus_comes,NA,NA,NA,0.008471846363826923,NA,NA
Eubacterium_ventriosum,NA,NA,NA,0.014861138567687556,0.01566386728869944,NA
Rothia_mucilaginosa,NA,NA,NA,0.005648531283913065,NA,NA
Alistipes_putredinis,NA,NA,NA,0.0042611476151433614,NA,0.014098608372439586
Ruminococcus_albus,NA,NA,NA,0.005194849427991016,NA,NA
Clostridium_ramosum,NA,NA,NA,0.006051270465243398,NA,NA
Clostridium_citroniae,NA,NA,NA,0.006120559053502185,NA,NA
Clostridium_bolteae,NA,NA,NA,0.009957533743833952,NA,NA
Clostridium_clostridioforme,NA,NA,NA,0.007541254346243924,NA,NA
Bilophila_wadsworthia,NA,NA,NA,0.00406328737250924,0.0029772905609005296,NA
Lachnospiraceae_bacterium_1_1_57FAA,NA,NA,NA,0.008238851437808722,NA,NA
Desulfovibrio_desulfuricans,NA,NA,NA,0.010902172587933027,NA,NA
Streptococcus_salivarius,NA,NA,NA,NA,0.020454008220159404,NA
Dorea_formicigenerans,NA,NA,NA,NA,0.009342315687353744,NA
Alistipes_onderdonkii,NA,NA,NA,NA,0.005187324670675428,NA
Flavonifractor_plautii,NA,NA,NA,NA,0.008157307803272076,NA
Streptococcus_infantis,NA,NA,NA,NA,0.004255284113180203,NA
Streptococcus_australis,NA,NA,NA,NA,0.006932321027870686,NA
Subdoligranulum_variabile,NA,NA,NA,NA,0.0058034310744250715,0.015468790468790466
Eubacterium_siraeum,NA,NA,NA,NA,0.004898674497367242,0.03761718148859688
Bacteroides_fragilis,NA,NA,NA,NA,0.009950676374197602,0.004920553701041507
Roseburia_inulinivorans,NA,NA,NA,NA,NA,0.0008559045401150673
Alistipes_unclassified,NA,NA,NA,NA,NA,0.008796090991212946
Sutterella_wadsworthensis,NA,NA,NA,NA,NA,0.003918888129414445
Lactobacillus_delbrueckii,NA,NA,NA,NA,NA,0.016327278081202518
Lactobacillus_curvatus,NA,NA,NA,NA,NA,0.003350384183717519
Actinomyces_odontolyticus,NA,NA,NA,NA,NA,0.0015652015652015646
Parabacteroides_unclassified,NA,NA,NA,NA,NA,0.011217852558835928
Bifidobacterium_bifidum,NA,NA,NA,NA,NA,0.0
Adlercreutzia_equolifaciens,NA,NA,NA,NA,NA,0.03328829926195066
Bacteroidales_bacterium_ph8,NA,NA,NA,NA,NA,0.026495221639913982
Lachnospiraceae_bacterium_2_1_58FAA,NA,NA,NA,NA,NA,0.009083051377708474
Lactobacillus_casei_paracasei,NA,NA,NA,NA,NA,0.012843011283557092
Holdemania_unclassified,NA,NA,NA,NA,NA,0.0027082106029474445
Coriobacteriaceae_bacterium_phI,NA,NA,NA,NA,NA,0.0029209250261881857
