	DHAK_HAK	DHAK_HAJ	DHAK_HAI	DHAK_HAH	DHAK_HAG	DHAK_HAF	DHAK_HAE	DHAK_HAD	DHAK_HAC	DHAK_HAB	DHAK_HAV	DHAK_HAX	DHAK_HAL	DHAK_HAM	DHAK_HAN	DHAK_HAO	DHAK_HAP	DHAK_HAR	DHAK_HAT	DHAK_HAU	DHAK_C22_M	DHAK_C23_M	DHAK_C19_M	DHAK_C2_M	DHAK_C16_M	DHAK_C18_M	DHAK_C14_M	DHAK_C15_M	DHAK_C10_M	DHAK_C13_M	DHAK_C7_M	DHAK_C9_M	DHAK_C5_M	DHAK_C6_M	DHAK_C3_M	DHAK_C4_M	DHAK_C24_M	DHAK_C25_M	DHAK_HA	DHAK_HAA	DHAK_HDF	DHAK_HDE	DHAK_HDB	DHAK_HDA	DHAK_HDD	DHAK_HDC	DHAK_HCY	DHAK_HCW	DHAK_HD	DHAK_HCZ	DHAK_HCD	DHAK_HCB	DHAK_HCA	DHAK_HC	DHAK_HCJ	DHAK_HCI	DHAK_HCH	DHAK_HCF	DHAK_HCL	DHAK_HCK	DHAK_HN	DHAK_HO	DHAK_HL	DHAK_HM	DHAK_HJ	DHAK_HK	DHAK_HG	DHAK_HI	DHAK_HE	DHAK_HF	DHAK_HCU	DHAK_HCV	DHAK_HCQ	DHAK_HCR	DHAK_HCS	DHAK_HCT	DHAK_HCM	DHAK_HCN	DHAK_HCO	DHAK_HCP	DHAK_HBH	DHAK_HBG	DHAK_HB	DHAK_HAZ	DHAK_HBB	DHAK_HBA	DHAK_HBD	DHAK_HBC	DHAK_HBF	DHAK_HBE	DHAK_HZ	DHAK_HY	DHAK_HU	DHAK_HT	DHAK_HW	DHAK_HV	DHAK_HQ	DHAK_HP	DHAK_HS	DHAK_HR	DHAK_HBY	DHAK_HBZ	DHAK_HBK	DHAK_HBL	DHAK_HBI	DHAK_HBJ	DHAK_HBV	DHAK_HBW	DHAK_HBM	DHAK_HBR
country	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND
location	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Kerala	Kerala	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Bhopal	Bhopal	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Bhopal	Kerala	Kerala	Kerala	Kerala	Bhopal	Kerala	Kerala	Kerala	Kerala	Bhopal	Kerala	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Kerala	Kerala	Bhopal	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
DNA_extraction_kit	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen
number_reads	10655514	 6171104	17519102	10271966	 8105478	10274980	12550928	14131842	11932130	10602732	 5430416	 6802474	 9271322	12979624	13145190	16932172	12355776	10185816	 5952458	 6514780	 5445504	 7020334	 8815758	 6258052	12878454	 6043396	 8529054	 9225622	 6353060	11050384	 9445680	 9511770	 7493434	10831834	10151712	 6337770	 9705516	 7969098	11001478	10597680	 7376354	 9890792	 4717922	 7599244	 5755054	11899314	 5247522	 6845686	12388600	 7865304	 9520588	 4822418	 7624918	12460232	 6775688	 7378028	 7275712	 7922886	 7355758	 9823020	 6443596	10964664	 7907190	10346300	12432498	 7491564	 8561238	15094902	 8732016	14384716	11104842	10996252	 5635222	 6710528	 5521326	 9651384	 7352590	10142394	 9242932	 6704578	10109830	 7745366	15548666	 7735790	 7597964	 6518376	 9045854	 4826170	 6183924	13405694	 9111352	19144504	 8625518	 6749366	 6952438	10239262	15169950	 9276878	13442182	 8951472	 5296600	 5849870	 6014096	 7119698	 7614366	 8011734	 7062940	 6347852	10155764	 4251494
number_bases	1344200520	 773772009	2142440783	1316013844	1036575018	1286730974	1545640695	1805641762	1544836274	1387130399	 673918005	 928540586	1203927125	1688320620	1696663348	2103248766	1610417458	1327594148	 802869306	 882772000	 779835379	 953285254	1217218776	 815464464	1638306780	 807853605	1113899152	1175175845	 811721817	1411389630	1208556736	1227255405	 983729077	1410279821	1307661754	 812140981	1298220991	1090074858	1400366558	1374274716	1037368291	1348133665	 668018094	1035278491	 790582176	1605014657	 742418100	 942562745	1538114053	1081366956	1270682023	 689450736	1087495406	1576569058	 928516286	 997201311	 993896268	1063103990	1016781080	1358498255	 811581241	1430923840	 983724460	1347474530	1575075165	 954061261	1065812419	1913605591	1126014109	1862246961	1433920763	1517224723	 793309934	 937125039	 754584053	1363678978	1010009755	1313430561	1256070078	 914569895	1366625440	1071915165	1934829494	1036595583	1021345817	 859881563	1193418140	 670339550	 882823784	1753688459	1169300878	2432406897	1119666721	 874895400	 891899754	1293408913	1913868247	1156488365	1677800044	1153088906	 744178266	 838823795	 835355583	 972335134	1059273220	1093824590	 998206462	 871897218	1373123414	 616943354
minimum_read_length	32	32	35	32	32	32	32	32	32	32	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	32	32	35	35	35	35	35	35	35	35	32	35	35	35	35	32	35	35	35	35	35	35	32	32	32	32	32	32	32	35	32	32	35	35	35	35	35	35	35	35	35	35	35	35	32	35	35	35	35	35	35	35	32	35	32	32	35	35	32	32	32	32	35	35	35	35	35	35	35	35	35	35
median_read_length	150	150	149	150	150	150	149	150	150	150	149	150	150	150	150	150	150	150	150	150	151	150	151	150	150	150	150	150	150	150	150	150	150	150	150	150	150	151	150	150	151	150	151	150	150	150	151	150	150	150	150	151	151	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	151	151	150	150	150	150	150	150	150	150	150	150	150	151	151	151	150	150	150	151	150	150	151
curator	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato
NCBI_accession	SRR5898908	SRR5898909	SRR5898910	SRR5898911	SRR5898912	SRR5898913	SRR5898914	SRR5898915	SRR5898916	SRR5898917	SRR5898918	SRR5898919	SRR5898920	SRR5898921	SRR5898922	SRR5898923	SRR5898924	SRR5898925	SRR5898926	SRR5898927	SRR5898928	SRR5898929	SRR5898930	SRR5898931	SRR5898932	SRR5898933	SRR5898934	SRR5898935	SRR5898936	SRR5898937	SRR5898938	SRR5898939	SRR5898940	SRR5898941	SRR5898942	SRR5898943	SRR5898944	SRR5898945	SRR5898946	SRR5898947	SRR5898948	SRR5898949	SRR5898950	SRR5898951	SRR5898952	SRR5898953	SRR5898954	SRR5898955	SRR5898956	SRR5898957	SRR5898958	SRR5898959	SRR5898960	SRR5898961	SRR5898962	SRR5898963	SRR5898964	SRR5898965	SRR5898966	SRR5898967	SRR5898968	SRR5898969	SRR5898970	SRR5898971	SRR5898972	SRR5898973	SRR5898974	SRR5898975	SRR5898976	SRR5898977	SRR5898978	SRR5898979	SRR5898980	SRR5898981	SRR5898982	SRR5898983	SRR5898984	SRR5898985	SRR5898986	SRR5898987	SRR5898988	SRR5898989	SRR5898990	SRR5898991	SRR5898992	SRR5898993	SRR5898994	SRR5898995	SRR5898996	SRR5898997	SRR5898998	SRR5898999	SRR5899000	SRR5899001	SRR5899002	SRR5899003	SRR5899004	SRR5899005	SRR5899006	SRR5899007	SRR5899008	SRR5899009	SRR5899010	SRR5899011	SRR5899012	SRR5899013	SRR5899014	SRR5899015	SRR5899016	SRR5899017
k__Bacteria	99.27595	100	99.63131	100	99.41739	100	100	77.36022	100	99.56419	99.45572	99.89535	100	100	99.98873	99.80365	100	100	100	99.98793	100	100	100	100	100	100	100	99.90216	100	100	100	100	100	100	99.48485	97.59051	100	100	100	82.09721	100	100	100	95.45682	100	99.56498	98.88285	99.40277	100	97.5293	99.65005	98.73909	100	100	99.42599	100	100	100	100	84.01019	100	100	100	100	100	100	100	99.5292	99.38249	100	100	100	100	99.46384	100	100	100	100	100	100	100	100	100	100	100	100	100	99.72879	100	100	100	99.24629	100	100	84.5076	100	99.95929	100	99.97074	100	100	98.58778	99.20463	99.57959	100	99.42097	100	87.60672	100	100
k__Archaea	0.72405	0	0	0	0.58261	0	0	0	0	0.43581	0	0.10465	0	0	0.01127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51515	2.40949	0	0	0	0	0	0	0	2.03192	0	0.43502	1.11715	0.59723	0	2.4707	0	1.26091	0	0	0.57401	0	0	0	0	0	0	0	0	0	0	0	0	0.4708	0	0	0	0	0	0.53616	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27121	0	0	0	0	0	0	0	0	0	0	0.02926	0	0	1.41222	0.79537	0.42041	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes	58.87801	57.77243	58.36269	69.79131	83.01733	91.81893	86.52078	32.30617	76.64328	29.71079	3.26924	25.80089	24.49764	34.25479	48.94986	58.37058	75.5057	95.44601	59.98886	2.82897	81.21761	71.81334	72.14093	69.36084	62.02469	62.07115	69.52099	80.2197	52.06366	32.03143	48.46017	67.00737	50.26488	29.62668	64.08449	27.21243	68.74711	66.95762	74.03214	48.5771	87.03779	44.65522	49.32033	5.68583	54.30216	16.17466	71.01186	38.94965	90.43147	45.61424	70.82979	67.63962	7.16005	48.92707	49.09927	17.9298	84.69463	34.19706	80.98558	15.50172	78.46867	79.33834	48.54402	0.2725	76.37473	46.30278	54.88861	67.76905	64.17276	93.73216	25.3228	46.14139	53.61238	49.52353	47.77248	0.18806	76.23617	35.00671	46.92992	27.93518	34.44344	19.24158	59.19974	8.3464	83.10477	60.50814	31.12348	64.59101	47.54188	11.08434	75.54949	25.98576	82.89095	61.61288	0.06181	22.88833	88.72851	52.4787	67.65769	86.43706	87.53978	69.53087	12.5217	49.9739	50.26594	6.93875	21.73701	14.06065	59.80716	46.98542
k__Bacteria|p__Firmicutes	35.50791	41.336	37.97774	26.25406	14.18755	7.61521	11.6472	42.32397	15.10129	62.61656	50.5556	65.79983	59.66263	27.84334	41.24171	28.80267	20.2508	4.25342	25.57582	74.22211	17.32396	23.44597	24.97944	17.70037	36.37641	33.35536	28.67799	15.58609	42.106	62.22872	36.91789	30.52712	45.43565	60.49225	32.52128	65.53658	28.5743	27.7926	24.00501	17.4009	9.85474	43.27107	31.08532	84.90845	29.50211	74.53766	8.99555	57.70302	7.27949	51.21483	13.72634	27.97328	14.13852	49.50233	41.91991	71.65089	12.78283	47.35914	17.20421	64.12104	18.47309	15.52472	45.34739	67.24808	23.20739	43.51393	19.87698	18.88874	33.46632	2.81157	60.27846	52.14908	24.82487	41.9662	48.92862	89.17858	16.77694	46.72082	51.40189	52.69209	49.05416	74.02788	35.21551	12.75319	13.0085	38.79341	55.7616	34.93998	39.56928	50.66654	23.61439	8.37554	13.55262	33.49049	30.54865	44.67143	8.45668	22.84986	29.41287	12.32805	9.54381	26.14397	75.86882	45.28345	24.44927	33.60096	63.65462	32.53904	21.32411	32.04443
k__Bacteria|p__Actinobacteria	3.17123	0.62011	2.10597	1.69702	0.09305	0.16006	0.11792	1.11686	2.5025	1.56501	23.36895	6.74738	7.39601	21.08494	6.64917	4.02932	0.63324	0.01986	0.78038	4.72001	0	0.0026	0.01306	0.60054	0.14857	0.09213	0.11146	0.9384	2.90827	2.87068	0	0.44066	0.32484	0.40665	0.26311	0.64736	0.8366	0.02304	0.37555	1.75613	2.24388	3.06639	18.37939	3.31689	0.92328	8.54383	1.28887	0.56827	0.52566	0.55418	0.38657	0.1034	1.48768	0.2712	0.56591	6.67858	2.47396	16.52758	0.94557	2.35791	0.13956	0.26335	3.03196	0.02476	0	0.56715	0.01983	0.17773	0.56144	1.18026	0.68911	0.97413	16.49914	0.71481	0	7.57849	2.07786	16.35267	1.03835	3.43456	8.19527	2.86322	1.01895	6.79644	2.81573	0.39257	3.49283	0.12978	4.30119	26.07389	0.20374	31.46137	1.82118	3.51397	2.6583	2.5576	0.61686	0.17079	1.0809	0.17808	2.12723	0.05927	2.38345	3.029	10.10945	0.37709	12.82181	3.37555	15.08945	19.99863
