	TRAVELRES13	TRAVELRES35	TRAVELRES37	TRAVELRES39	TRAVELRES57	TRAVELRES59	TRAVELRES63	TRAVELRES65	TRAVELRES67	TRAVELRES47	TRAVELRES23	TRAVELRES70	TRAVELRES21	TRAVELRES27	TRAVELRES1	TRAVELRES3	TRAVELRES5	TRAVELRES17	TRAVELRES19	TRAVELRES25	TRAVELRES41	TRAVELRES43	TRAVELRES45	TRAVELRES55	TRAVELRES7	TRAVELRES11	TRAVELRES15	TRAVELRES29	TRAVELRES31	TRAVELRES33	TRAVELRES61	TRAVELRES9	TRAVELRES53	TRAVELRES49	TRAVELRES51	TRAVELRES14	TRAVELRES36	TRAVELRES38	TRAVELRES40	TRAVELRES58	TRAVELRES60	TRAVELRES64	TRAVELRES66	TRAVELRES68	TRAVELRES48	TRAVELRES24	TRAVELRES69	TRAVELRES22	TRAVELRES28	TRAVELRES2	TRAVELRES4	TRAVELRES6	TRAVELRES18	TRAVELRES20	TRAVELRES26	TRAVELRES42	TRAVELRES44	TRAVELRES46	TRAVELRES56	TRAVELRES8	TRAVELRES12	TRAVELRES16	TRAVELRES30	TRAVELRES32	TRAVELRES34	TRAVELRES62	TRAVELRES10	TRAVELRES54	TRAVELRES50	TRAVELRES52
days_from_first_collection	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	141	 71	 71	149	 71	 72	 91	 77	 57	161	 99	 83	 52	 97	 49	 97	 64	 43	 69	 58	 96	127	 41	141	203	170	124	 68	 69	 97	 69	 77	 58	 22	 22
DNA_extraction_kit	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen
number_reads	233971282	141934656	205724324	258076764	169536970	192676610	173419070	 53597772	160578082	214195050	188188370	286857862	182408648	356009214	147984098	113377860	224437174	173451850	240987672	155592346	199797130	131473024	234713530	221683292	201010060	168352376	195145886	222913068	204235228	197507338	222599268	194849272	337157882	150534486	182053822	129734170	170271930	161675760	209350240	211975946	211307660	 66072614	239483092	248995670	279021086	155502422	221068190	255430132	109975282	254471784	184603796	206293040	328342060	184138820	279539812	155602906	190599596	222875304	149499716	160774976	150106114	189041654	205684656	137333440	151740678	178808848	195459508	163268324	251408826	103411914
number_bases	22538753705	13755325664	19974614647	24933574834	16265353413	18585436562	16848761573	 5215050578	15323582546	19591160321	18620590274	26648755592	17726349305	34557390836	13868148097	11080623389	21581722886	15865857965	23306622382	15229693403	19447906553	12672897359	20835897670	21118084967	19668768810	16464434245	18995101764	21692484530	19939405416	19096586076	21567769804	17894972941	31006092018	13587167167	16772473657	12728766397	16513774536	15331086932	20584110838	20777807237	20295900252	 6441828272	23330695366	24096794213	25450346613	14775627361	20693416103	24693832848	10674953960	23867030018	17981546073	19630933040	30288029383	18004323919	27256086641	15067079763	17218876158	20258862213	13836734735	15719884486	14713733718	18458964312	20052770762	13598638468	14895467755	17165687210	17996414677	15512438727	23278447445	 9684055900
minimum_read_length	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
median_read_length	101	101	101	101	101	101	101	101	101	 96	101	101	101	101	101	101	101	100	101	101	101	101	 95	101	101	101	101	101	101	101	101	 95	101	 95	101	101	101	101	101	101	101	101	101	101	 96	101	101	101	101	101	101	101	101	101	101	101	 95	 96	101	101	101	101	101	101	101	101	 95	101	101	101
travel_destination	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	ETH	ETH	KEN	TZA	TZA	RWA	RWA	RWA	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	LKA	LKA	NPL	NPL
curator	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger	Valentina_Giunchiglia,Paolo_Manghi,Marisa_Metzger
NCBI_accession	ERR636361	ERR636383	ERR636385	ERR636387	ERR636405	ERR636407	ERR636411	ERR636413	ERR636415	ERR636395	ERR636371	ERR636418	ERR636369	ERR636375	ERR636349	ERR636351	ERR636353	ERR636365	ERR636367	ERR636373	ERR636389	ERR636391	ERR636393	ERR636403	ERR636355	ERR636359	ERR636363	ERR636377	ERR636379	ERR636381	ERR636409	ERR636357	ERR636401	ERR636397	ERR636399	ERR636362	ERR636384	ERR636386	ERR636388	ERR636406	ERR636408	ERR636412	ERR636414	ERR636416	ERR636396	ERR636372	ERR636417	ERR636370	ERR636376	ERR636350	ERR636352	ERR636354	ERR636366	ERR636368	ERR636374	ERR636390	ERR636392	ERR636394	ERR636404	ERR636356	ERR636360	ERR636364	ERR636378	ERR636380	ERR636382	ERR636410	ERR636358	ERR636402	ERR636398	ERR636400
k__Bacteria	99.99298	67.80374	98.77365	64.76346	36.92352	99.12364	99.86111	99.82399	99.88808	97.31596	99.9359	99.86678	90.34417	94.38319	98.66103	76.9768	99.76761	99.97194	99.95573	36.80844	99.95569	98.54622	63.71495	99.89662	98.83506	80.11937	99.94616	88.35972	99.9425	99.98412	99.96173	98.89429	99.95007	32.26419	90.47635	99.92448	99.16734	99.99231	97.44955	71.13896	98.84269	99.94411	57.13957	98.69859	97.79846	99.99182	57.02652	69.00583	76.38889	99.8894	98.50863	87.24399	98.37377	98.27771	97.024	44.95149	99.77903	98.35841	99.47935	98.71364	97.47991	99.93733	99.87555	99.99886	99.99973	98.90291	75.14132	99.25762	87.68771	99.98195
k__Viruses	0.00702	32.11793	1.22635	35.23628	63.07246	0.86942	0.05457	0.1682	0.10645	2.68404	0.0641	0.06807	9.65583	5.4828	1.33635	23.0232	0.22627	0.02806	0.04427	63.15789	0.0442	1.44941	36.28505	0.04491	1.16316	19.61676	0.05282	11.6322	0.03498	0.01588	0.00645	0.59835	0.04852	67.69775	9.52365	0.03037	0.82583	0.00769	2.55045	28.86104	1.14456	0	42.85978	1.30141	2.20154	0.00818	42.87965	30.99417	23.57233	0.1106	1.49137	12.70568	1.59771	1.7205	2.96704	55.04851	0.2203	1.64159	0.52026	1.28338	2.41908	0.05876	0.12445	0.00114	0	0.23831	24.76818	0.74214	12.21695	0.01792
k__Bacteria|p__Bacteroidetes	73.83698	31.86553	61.04746	27.3925	9.58007	48.16343	66.09115	58.65696	25.00998	54.26321	55.49719	60.88984	39.75603	30.93889	59.96544	35.65605	66.671	34.63117	41.0468	18.0936	43.97066	58.82261	41.70486	61.58245	29.32947	23.15399	61.71103	48.54792	58.50052	38.78756	55.23942	23.42645	74.3254	19.61333	61.84775	65.16827	58.40048	31.93845	65.90092	46.16566	38.07059	68.14938	38.9087	61.64257	66.88879	70.61886	34.6021	45.57178	42.08114	36.70515	37.24699	40.12495	53.48316	37.82471	39.1999	20.06241	17.26097	43.66587	63.42922	36.81232	47.05044	37.83407	66.60529	78.08809	75.72721	73.58449	24.78975	75.05069	46.4085	66.66345
k__Bacteria|p__Firmicutes	25.59615	34.41502	37.2807	32.03246	24.88645	49.89154	30.27893	36.62722	71.2415	40.1805	42.44678	32.60049	49.05291	61.77655	33.04611	38.87942	30.77385	61.08368	55.64397	17.66278	52.34093	36.94022	21.11876	33.8627	66.43158	53.56115	28.52267	37.7274	38.68633	58.47903	38.95087	60.38507	12.71469	10.51755	25.0156	31.881	37.13554	64.7219	24.37432	20.87794	58.93841	22.96092	12.69666	34.72134	29.00296	26.40225	19.71562	22.05191	33.37939	59.00528	56.35783	43.71298	40.09341	57.51963	52.58841	22.64491	81.01673	53.1959	32.8629	49.68212	47.31023	54.8647	30.5003	20.34101	18.18996	16.00264	46.33278	19.44271	39.45945	17.02613
k__Bacteria|p__Proteobacteria	0.3773	0.96833	0.38494	0.64527	0.40969	0.91993	2.88351	3.58498	0.75942	2.18927	1.34761	6.09831	0.25504	1.05444	4.48578	1.91653	0.99948	2.98693	0.51546	0.76191	3.20324	1.78734	0.7355	3.5679	2.63776	1.28311	8.33139	1.12969	1.50259	0.83964	2.91452	10.38787	5.68092	1.75193	2.73316	2.51385	3.10346	3.13612	5.46475	2.59933	1.63917	2.49068	5.46366	2.22023	1.82821	1.85422	2.52096	0.72621	0.59656	4.07365	3.06314	2.39979	3.56126	2.19356	4.18537	2.06332	1.2749	1.33664	2.49154	11.70995	2.51048	6.17718	2.47157	0.42208	3.17318	1.92644	3.00474	2.59696	1.25799	16.06464
k__Bacteria|p__Actinobacteria	0.15684	0.55375	0.05729	4.22878	2.00378	0.11558	0.53817	0.18958	2.87472	0.62397	0.64432	0.26237	0.21147	0.43255	0.38707	0.52285	1.25589	0.18693	2.62947	0.1982	0.43811	0.99011	0.12373	0.81306	0.36474	1.83278	0.45394	0.66258	1.24728	1.86996	2.85692	2.31664	0.591	0.07916	0.67997	0.11677	0.45301	0.00359	1.30297	1.49602	0.19076	6.29872	0.03223	0.11445	0.04914	1.11317	0.15829	0.63187	0.22951	0.03215	1.40338	0.83626	0.26654	0.73981	0.46755	0.17504	0.19736	0.15129	0.67965	0.49059	0.60669	0.17274	0.29839	1.14767	2.87029	7.3882	0.84423	0.54793	0.44378	0.17682
k__Bacteria|p__Verrucomicrobia	0.025	0	0	0.4637	0.04284	0.03156	0.05607	0.76525	0	0.00031	0	0.01134	1.06747	0.09023	0.76876	0	0.06336	1.07148	0.11394	0.09102	0	0.00594	0.02865	0.06566	0.07008	0.28591	0.92426	0.29213	0.00187	0.00557	0	2.3331	6.6354	0	0.19243	0.24113	0.0731	0.18712	0.40523	0	0.00377	0.00255	0.03503	0	0.01935	0	0.02648	0.01911	0.04221	0.05566	0.43729	0.16437	0.96612	0	0.57834	0.00502	0.02813	0	0.00436	0.00972	0.00207	0.88863	0	0	0	0	0.16842	1.61674	0	0.03701
k__Viruses|p__Viruses_noname	0.00702	32.11793	1.22635	35.23628	63.07246	0.86942	0.05457	0.1682	0.10645	2.68404	0.0641	0.06807	9.65583	5.4828	1.33635	23.0232	0.22627	0.02806	0.04427	63.15789	0.0442	1.44941	36.28505	0.04491	1.16316	19.61676	0.05282	11.6322	0.03498	0.01588	0.00645	0.59835	0.04852	67.69775	9.52365	0.03037	0.82583	0.00769	2.55045	28.86104	1.14456	0	42.85978	1.30141	2.20154	0.00818	42.87965	30.99417	23.57233	0.1106	1.49137	12.70568	1.59771	1.7205	2.96704	55.04851	0.2203	1.64159	0.52026	1.28338	2.41908	0.05876	0.12445	0.00114	0	0.23831	24.76818	0.74214	12.21695	0.01792
k__Bacteria|p__Chlorobi	0.00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	73.83698	31.86553	61.04301	27.3925	9.58007	48.16343	66.09115	58.65696	25.00998	54.25946	55.49719	60.88368	39.75603	30.93889	59.96544	35.65605	66.671	34.6258	41.0468	18.09191	43.97066	58.81989	41.70145	61.58026	29.32947	23.15399	61.71103	48.54792	58.50052	38.78546	55.23716	23.42106	74.32234	19.61333	61.84468	65.16827	58.40048	31.93607	65.90092	46.16566	38.07059	68.14938	38.9087	61.64103	66.88879	70.61886	34.60049	45.57055	42.08114	36.70341	37.24699	40.12203	53.48181	37.82471	39.1959	20.06083	17.25956	43.66171	63.42922	36.80534	47.05044	37.83407	66.60529	78.08809	75.72721	73.5826	24.78975	75.05069	46.4085	66.65902
k__Bacteria|p__Firmicutes|c__Clostridia	21.4291	32.71002	36.82488	30.5473	24.68889	49.30336	29.10301	36.12654	64.25631	36.56194	37.42801	30.31895	48.63105	58.9002	23.69359	34.27068	24.21601	59.15164	53.2896	17.50149	50.51072	32.44022	19.70713	30.69114	63.95716	53.094	27.48006	37.33046	26.79652	56.2421	36.21933	59.80275	12.32605	9.86901	24.8578	26.62858	35.32486	63.99876	19.68479	20.53126	57.16621	21.79662	11.553	31.73954	28.51958	22.30744	18.3884	21.53639	32.9941	54.48384	53.38412	31.9184	38.88615	55.23673	52.13213	21.15576	78.19679	52.69786	28.17237	43.37624	44.97141	54.50473	23.68999	19.09215	13.31893	14.79564	45.22263	17.80622	37.85806	16.53137
k__Bacteria|p__Firmicutes|c__Negativicutes	3.63612	1.62976	0.39861	1.23752	0.05198	0.1539	0.04049	0.15197	3.27304	0.10574	4.72945	1.78118	0.04713	2.70219	8.94504	3.38291	6.28946	1.75466	2.25942	0.11323	1.15641	4.29357	1.3143	2.65404	0.43739	0.09267	0.83574	0.24191	10.21259	1.97283	2.33134	0.33841	0.127	0.12456	0.07257	4.57287	1.76332	0.61757	4.2141	0.23873	0.32767	0.01308	0.95348	2.82567	0.05709	3.82173	1.03887	0.24355	0.2989	3.93895	2.49588	11.45141	0.93454	0.24739	0.32013	0.83223	2.74985	0.20028	2.56993	5.05853	0.65121	0.10417	5.69999	0.61528	4.34906	0.04967	1.00406	1.51945	0.05589	0.35626
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.332	0.01112	0.04967	0.16796	0.00909	0.05366	1.10377	0.22426	3.66205	3.19515	0.03653	0.03499	0.08947	0.07834	0.26267	0.01432	0.02847	0.07273	0.01807	0.00856	0.5433	0.03739	0.00696	0.03651	0.04655	0.02179	0.01047	0.0255	1.09748	0.01634	0.22713	0.22958	0.04662	0.45029	0.02859	0.56972	0.00352	0.01404	0.36434	0.00316	0.03319	1.07779	0.0185	0.14085	0.3966	0.055	0.01518	0.06215	0.02547	0.12607	0.02286	0.31736	0.10896	0.18393	0.02568	0.26682	0.02618	0.01343	0.02968	0.04023	0.04374	0.01385	0.1761	0.52119	0.50444	1.06578	0.01093	0.05447	1.48643	0.00848
k__Bacteria|p__Firmicutes|c__Bacilli	0.19894	0.06412	0.00755	0.07968	0.1365	0.38061	0.03166	0.12444	0.0501	0.31767	0.25278	0.46536	0.28525	0.09582	0.14481	1.21152	0.23992	0.10465	0.07688	0.03949	0.1305	0.16904	0.09038	0.48102	1.99048	0.35269	0.1964	0.12954	0.57974	0.24776	0.17306	0.01434	0.21502	0.07369	0.05664	0.10984	0.04383	0.09152	0.11109	0.1048	1.41134	0.07343	0.17169	0.01527	0.02969	0.21807	0.27316	0.20981	0.06091	0.45641	0.45497	0.02581	0.16376	1.85158	0.11047	0.3901	0.0439	0.28433	2.09092	1.20713	1.64388	0.24194	0.93422	0.11239	0.01753	0.09154	0.09516	0.06257	0.05907	0.13002
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.18741	0.03962	0.34344	0.21794	0.1797	0.28307	1.07414	0.33455	0.06275	0.05261	0.1346	1.48598	0.04116	0.53674	0.62943	1.41561	0.12408	0.75948	0.51478	0.64136	1.03198	0.07585	0.20246	0.74319	0.6641	0.44373	2.14338	0.62994	1.18131	0.10144	0.16278	9.3811	5.27006	0.38641	0.33348	1.31119	0.13837	3.0823	1.00359	0.29834	0.74214	0.97581	0.48906	1.51756	0.05586	0.02637	0.54616	0.14856	0.17843	2.05009	2.3093	1.16988	1.96028	1.97118	2.4069	1.30844	0.59205	0.41948	0.37737	6.20811	0.38877	0.51121	0.71326	0.0416	2.17485	0.31853	0.4821	0.6491	0.22624	9.58878
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.15684	0.55375	0.05729	4.22878	2.00378	0.11558	0.53817	0.18958	2.87472	0.62397	0.64432	0.26237	0.21147	0.43255	0.38707	0.52285	1.25589	0.18693	2.62947	0.1982	0.43811	0.99011	0.12373	0.81306	0.36474	1.83278	0.45394	0.66258	1.24728	1.86996	2.85692	2.31664	0.591	0.07916	0.67997	0.11677	0.45301	0.00359	1.30297	1.49602	0.19076	6.29872	0.03223	0.11445	0.04914	1.11317	0.15829	0.63187	0.22951	0.03215	1.40338	0.83626	0.26654	0.73981	0.46755	0.17504	0.19736	0.15129	0.67965	0.49059	0.60669	0.17274	0.29839	1.14767	2.87029	7.3882	0.84423	0.54793	0.44378	0.17682
