	SRS011061	SRS011084	SRS011134	SRS011239	SRS011271	SRS011302	SRS011405	SRS011452	SRS011529	SRS011586	SRS012273	SRS012902	SRS013158	SRS013215	SRS013476	SRS013521	SRS013687	SRS013800	SRS013951	SRS014235	SRS014287	SRS014313	SRS014459	SRS014613	SRS014683	SRS014923	SRS014979	SRS015065	SRS015133	SRS015190	SRS015217	SRS015264	SRS015369	SRS015578	SRS015663	SRS015782	SRS015794	SRS015854	SRS015960	SRS016018	SRS016056	SRS016095	SRS016203	SRS016267	SRS016335	SRS016495	SRS016585	SRS016753	SRS016954	SRS016989	SRS017103	SRS017191	SRS017247	SRS017307	SRS017433	SRS017521	SRS017701	SRS017821	SRS018133	SRS018313	SRS018351	SRS018427	SRS018575	SRS018656	SRS018817	SRS019030	SRS019161	SRS019267	SRS019397	SRS019582	SRS019601	SRS019685	SRS019787	SRS019910	SRS019968	SRS020233	SRS020328	SRS020869	SRS021484	SRS021948	SRS022071	SRS022137	SRS022524	SRS022609	SRS022713	SRS023346	SRS023526	SRS023583	SRS023829	SRS023914	SRS023971	SRS024009	SRS024075	SRS024132	SRS024265	SRS024331	SRS024388	SRS024435	SRS024549	SRS024625	SRS042284	SRS042628	SRS043001	SRS043411	SRS043701	SRS045004	SRS045645	SRS045713	SRS047014	SRS047044	SRS048164	SRS048870	SRS049164	SRS049712	SRS049900	SRS049959	SRS049995	SRS050299	SRS050422	SRS050752	SRS050925	SRS051031	SRS051882	SRS052027	SRS052697	SRS053214	SRS053335	SRS053398	SRS054590	SRS054956	SRS055982	SRS056259	SRS056519	SRS057478	SRS057717	SRS058723	SRS058770	SRS062427	SRS063040	SRS063985	SRS064276	SRS064557	SRS064645	SRS065504	SRS075398	SRS077730	SRS078176
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae|t__Streptococcus_mitis_oralis_pneumoniae_unclassified	0	0.00184	0.10076	0	0	0.06672	0	0	0	0.03852	0.00226	0	0.06283	0	0	0.00651	0.00133	0.00315	0.00094	0	0.0017	0	0	0	0	0.00012	0	0.0015	0	0	0.015	0	0	0.00265	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0.00396	0.00102	0.00472	0	0	0	0	0	0	0	0	0	0.05489	0.00802	0.00157	0	0.0043	0	0.00067	0	0.00118	0.00991	0	0	0.00396	0	0	0.00084	0	0.00796	0	0	0.00259	0	0.00181	0	0	0	0.0091	0	0	0	0	0.00367	0.00641	0	0	0.07098	0	7e-04	0	0	0	0.01958	0.12491	6e-04	0.00372	0.01831	0.00808	0.00105	0	0.01335	0	0.00021	0	0.01169	0.01204	0.00255	0	0	0	2e-04	0.00397	0.00174	0.00117	0	0.00379	0.02672	0	0	0.03488	0.00422	0.00875	0	0	0.00558	0	0.00762	0.00405	0.0027	0.00038	0.00075	0	0	0	0	0	0	0.00101	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta|t__GCF_000024265	0	0.00132	0	0	0	0	0	0	0	0.00046	5e-05	0	0.00612	0	0	0	0	0	0	0	0	0	0	0	0	0.03174	0.00102	0	0	0	0.01994	0	0	0.00058	0	0.00018	0	0.00403	0	0	0	0.00011	0	0.00067	0	0	0	0	0	0	0.00089	0	0	0	0	0.00861	0	0	0	0.00135	0.00097	0	0	0	0	0	0	0.00102	0.00034	0	0.05347	0	0.00051	0	0	0	0.0011	0	0	0	6e-05	0	0	0	0.00234	0	0	0	0	0.00511	0.0032	0	0	0	0	2e-04	0	0	0	0	0	0.00126	0	0.00504	0	0	0	0	0	0	0	0	0	0	0.00037	0	0.00027	0	0	0	0	0	0	0	0	0	0	0	0.00224	0.00494	0	0	0	0.00396	0	0.00018	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_3_1_31|t__Eubacterium_sp_3_1_31_unclassified	0	0.00106	0	0.01814	0.00491	0.0377	0	0	0	0	0.02869	0	0.05439	0.00379	0	0	0	0	0	0.00017	0.06707	0.00096	0	0	0	0.00906	0	0.02203	0.06058	0	0.00138	0	0.01181	0.00247	0	0	0.00472	0.06126	0.03714	0.00792	0.00538	0	0	0.02441	0.00239	0.00961	0	0.01049	0	0	0	0	0	0	0	0.59337	0	0	0	0.04067	0	0.09564	0.00077	0.00582	0.0046	0	0	0	0	0.0035	1.44426	0	0.01751	0	0	0.00143	0	0.00288	0.00089	0.00124	0	0	0	0	0	0	0.00724	0	0	0	0.15359	0	0	0.00154	0.0108	0	0	0	0.00279	0	0.20824	0.35635	0.02552	0	0	0	0	0	0	0	0	0	0	0	0.00933	0	0	0	0.00515	0	0.00327	0	0.00079	0	0	0.00161	0.17311	0	0	0	0	0.29217	0	0	0	0.00034	0.00927	0.01284	0.00047	0.05113	0	0.01805	0.01913	0	0	0.0023	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__GCF_000332875	0	0.00048	0	0.00131	0.00115	0	0	0	0	0.07933	0.04311	0	0.00263	0	0.00464	0.00163	0.00019	0.00097	0.00245	0.00129	0.01027	0.07239	0.00264	0	0.01464	0.00294	0.00831	0.00409	7e-04	0	0.00631	0.00119	0	0.10871	0	0.04742	0.00289	0.0165	0	0	0	0	0	0.00888	0.00722	0.02205	5e-05	0	0.01898	0.0166	0.00464	0.00059	0.00046	0	0.00744	0.0113	0.0145	0.01198	0	0.00019	0.00507	0	0.00457	0	0.00933	0.00052	0.00219	0.00453	0.00337	0.00034	0.00622	0	0.00929	0.06865	0	0.00223	0.00685	0.06813	0	0	0.01938	0.05955	0	0.00183	0	0	0.00808	0.00551	0	0	0	0	0.00087	0.00318	0	0.00078	0	0.00405	0	0.02342	0	0	0.00032	0	0.00078	0	0	0	0	0.01835	0.00099	0	0	0.09962	5e-04	0.00014	0.00354	0	0.03785	0.00878	0	0	0.00022	0.01068	0.02287	0.00687	0.00185	0.00048	0	0.00072	0.01566	0.00374	0.05266	0.00173	0.00255	0.11918	0.00261	0.00201	0.01733	0.00139	0.00067	0	0	0	0	0.01817	0.01792
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis|t__GCF_000226135	0	0.00044	0.07464	0	0.01156	0	0	0	0.09364	0.0013	0	0	0	0	0.00117	2.43226	0.07288	1.88421	0.21386	0	2.11029	0	0	0	0	0.84963	0	0	1.82959	0	0.03023	0	0	0	0	0	0.0475	0	0	0	0.54173	0.00012	0	0	8.10979	0	0.00396	0	0	0	0.01798	0	0.00165	1.10514	1.06589	0	0.04793	7e-05	0.0294	0	4e-04	0	0	0	0	0	1.70904	0	0	0	0	0	0	0.00045	0	0	0	0	0.00054	0.00508	0	0	0	0.01199	0.00146	0	0.01674	0	0	0.01027	0	0	0.00018	0.00442	0	0.05503	14.93015	0.01204	0	0	0	0	0	0	0	0.00017	0.00039	0	2.965	0	4.67852	0	3.65722	0.00104	0	0.06811	1.81185	0	0	0	2.33783	0	0.19496	0.15022	0	0	14.00016	2.5009	0	0	0	0	0	0	0	0	0.02722	17.63393	0	4.49286	0	0	0	0	0	0	1.46075
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae|g__Potyvirus|s__Dasheen_mosaic_virus|t__PRJNA15388	0	0.00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00086	0	0	0	0	0	0.00179	0	0	0	0	0.00161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00077	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00097	0	0	0	0	0	0	0	0	0.00097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00079	0	0	0	0	9e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_gallinarum|t__GCF_000374365	0	0.00031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28981	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus|t__Ruminococcus_gnavus_unclassified	0	0.00028	0	0	0	0.01294	0.03383	0.07899	0	0.0118	3.46567	0.22855	0.23879	0.2917	0	0.00032	0.02428	0	0.06229	0.01548	0.76768	0.25168	0.025	0	0.00022	0.00117	0.00132	0.03884	0.0263	0.02249	0.30037	0.02899	0.07091	0.66703	0.00207	0	0.01592	0.00207	0.00072	0.02323	0.00428	0	0	0.40873	0.0254	0.38589	0	0.11598	0	0	0.00019	0.22969	0	0	0.07679	0.6685	0	0	0.03867	0.03572	0	0.02569	0.00226	0.28925	0.0619	0	0.06934	0.02159	0.07627	0	0.00974	0.00494	0.04167	0.24937	0.00077	0	0.00433	0.00449	0.00492	0	0.00388	0	0.02797	0	0.04314	0.48398	0	0	0.15678	0	0.28562	0.076	0.00218	0	0.00027	0	0.19956	0	0.21006	0	2.31899	0.03317	0.01455	0.08568	0.33874	0	0	0.05868	0	0	0.0509	0.00047	0	0.01452	0.16738	0.03334	0.00489	0	0.43749	0	0.00244	0.00077	0.02064	0.03139	0.0011	0	0.03106	0	0.37686	0.16482	0.00661	0	0.00991	0.06047	5.73863	0.12882	0.06663	0.05455	0.00489	0.09925	0.00024	0.00732	0.04881	0.00268	0.59608	0.00778	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus|t__GCF_000210555	0	0.00025	0.00642	0.05486	0.01769	0.00221	0	0	0.01551	0.00826	0.05617	0	0	0	0.01585	0.00046	0.04462	0.00897	0.01823	0.00849	0	0	0.0677	0	0.02103	0	0.10429	0.07111	0	0.01444	0.12813	0.04093	0	0.0955	0.03178	0.07224	0.00559	0.05314	0	0.00163	0	0.16125	0.0163	0.02532	0.02305	0	0	0	0.00438	0.00347	0.03743	0.03358	0.00483	0.01189	0.07596	0	0.00566	0.00849	0	0	0.00791	0.06555	0.03972	0.00176	0.05392	0.0086	0.01807	0.00798	0.00678	0.00613	0.04317	0.00115	0.00786	0.01783	0.00218	0.63233	0.0822	0.12794	0.00078	0.02297	0.09464	0.05895	0.16163	0.02917	0.01311	0	0.05119	0.00816	0	0.11334	0	0	0.02733	0.02454	0.00105	0.03283	0.00065	0.01519	0	0.004	0	0.13054	0	0.03698	0.04189	0.00471	0.00986	0.00768	0.02438	0.00628	0.01234	0.01185	0.01832	0	0	0.02169	0.02297	0.00089	0.20446	0.03759	0	0.05991	0.02528	0	0.0695	0	0	0.03775	0	0	0.0799	0	0.02311	0.06386	0	0	0.0275	0	0.11539	0	0	0	0	0.01347	0	0	0.01927
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis|t__GCF_000154565	0	0.00012	0	0.007	0.00143	0	0.00051	0	0	0.00237	0.00547	0	0	0	0	0	0.00885	0	0.00172	0	0.0328	0.00332	0.07168	0	0.00182	0.01803	0.01417	0.04626	0.00373	9e-05	0.0609	0.015	0	0.00149	0.00047	0.00957	0	0.02146	0	0	0.00327	0.00232	0	0	0.00639	0.00844	0	0	0	0.00245	0	0.00245	0	0	0.01117	0.4606	0	0	0	0	0	0.00947	0.01426	0	0.00167	0	0.00065	0.0011	0	0	0.09643	0	0.00208	0	0	0.01009	0.02566	0.00648	0	0.00575	0.00454	0.04199	0.00537	0	0.00747	0	0.00242	1e-04	0	0.00076	0	0	0	0	0	0	0.00263	0.0031	0.00184	0	0	0.00077	0.02019	0.00917	0	0	0	0.00039	0.00164	0	0.00058	0	0.00247	0.00053	0	0.00174	0.00017	0	0	0.00822	0.00111	0.00266	0.01306	0	1e-04	0.01176	0.03486	0.01017	0.00176	0.00123	0.00527	0	0.00202	0.02458	0	0	0.01811	0	0.00124	0.00249	0.00452	0	0	0.00052	0	0.00139	0.00441
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis|t__GCF_000178255	0	0.00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00063	0	0	0	0	0	0	0	0	1.23177	0	0	2e-04	0.00349	0	0	0.00048	0	0	0	0.00378	0	0	0	0	0	0	0	0	0	0	0	0	0.00435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00235	0.00196	0	0	0	0	0	0	0.00212	0	0	0	0	0	0	0	0	0.00168	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus|t__GCF_000154425	0	1e-04	0	0	0.00015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16702	0	0	0	0	0	0	0	0	0.06211	0	0	6.52444	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48007	0	0	0	0	0	0	0	0	0	0.00012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03845	0	0	0	0.00302	0	0	0	0.00389	0	0	0	0	0	0	0	0.48175	0.13858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9e-05	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria	0	0	0	0	0	0.00019	0	0	0	0	0	0	0	0.00232	0	0	0	0	0	0	0	0	0	0	0.00018	0.01977	0	0	0	0	0	0	0	0.00068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54359	0.00133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00967	0	0	0	0.07779	0	0	0	0	0	0	0	0	0	0.10204	0	0	0	0	0	0	0	0	0	0	0.00164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	0	0	0	0	0	0.18801	0	0	0	0	0	0	0	0	0	0.07425	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0	0	0	0	0	0.00019	0	0	0	0	0	0	0	0.00232	0	0	0	0	0	0	0	0	0	0	0.00018	0.01977	0	0	0	0	0	0	0	0.00068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54359	0.00133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00967	0	0	0	0.07779	0	0	0	0	0	0	0	0	0	0.10204	0	0	0	0	0	0	0	0	0	0	0.00164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	0	0	0	0	0	0.18801	0	0	0	0	0	0	0	0	0	0.07425	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0	0	0	0	0	0	0	0	0	0	0.04725	0	0	0	0	0	0	0	0	0.00762	0	0	0	0.00015	0.01048	0	0	0	0.0023	0.00198	0.00604	0	0	0	0.01419	0	0	0	0	0	0	0	0.02699	0	0	0	0	0	0	0	0	0	0	0	0.00622	0.37485	0	0	0	0	0	0	0	0	0	0	0.00261	0	0	0	0.00031	0	0	0	0	0	0.00209	0	0	0	0	0.00904	0	0	0	0	0	0	0	0	0	0	0.023	0	0	0	0	0	0	0.00084	0	0.00163	0	0	0.02187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00708	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0.00136	0	0	0	0.02655	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00185	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00221	0	0	0.00273	0.00722	0	0	0	0	0.00196	0.00171	0.00145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00216	0	0	0	0	0	0.00291	0	0.00378	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02989	0	0	0	0	0	0	0	0.00247	0.00359	0	0	0	0	0	0	0.00236	0	0.00325	0	0.00849	0	0	0	0	0	0	0.0027	0	0.00198	0	0	0.00242
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0	0.00291	0	0	0.00495	0	0.05575	0	0	0.02179	0	0.00016	0	0	0	0.0027	0	0.00871	0	0.01117	0	0	0	0	0.01397	0	7e-05	0	0	0.03465	0.03253	0	0	0	0	2e-04	0.00806	0.00471	0	0	0	0	0.00247	0	0	0	0	0	0	0	0	0	0	0	0.00371	0	0	9e-05	0.00974	0.01433	0.00738	0.00452	0.01077	0.00259	0	0.00237	0.00043	0	0	0	0.00454	0	0.00752	0.00211	0	0.00542	0	0	0	0.00163	0	0.01287	0.00144	0.02442	0	0	0	0	0.00332	0.00059	0	0	0	0.00222	0	0	0	0	0	0.00021	0.02438	0.01104	0.0074	0.0059	0.00566	0	0.00836	0.00031	0	0.00307	0	0	0.00325	0	0	0.00307	0.01174	0.00317	0	0	0	0	0	0.00236	0	0	0.00048	0.01109	0.00095	0	0	0.00491	0.00017	0	0.00674	0	0	0.00094	0	0	0	0	0	0	0.00772	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0	0	0	0	0	0	0	0	0	0	0.02048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00432	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0.01057	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01338	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00194	0	0	0	0.00082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0	0	0	0	0	0.00019	0	0	0	0	0	0	0	0.00232	0	0	0	0	0	0	0	0	0	0	0.00018	0.01977	0	0	0	0	0	0	0	0.00068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54359	0.00133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00967	0	0	0	0.07779	0	0	0	0	0	0	0	0	0	0.10204	0	0	0	0	0	0	0	0	0	0	0.00164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	0	0	0	0	0	0.18801	0	0	0	0	0	0	0	0	0	0.07425	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0	0	0	0	0	0	0	0	0	0	0.04725	0	0	0	0	0	0	0	0	0.00762	0	0	0	0.00015	0.01048	0	0	0	0.0023	0.00198	0.00604	0	0	0	0.01419	0	0	0	0	0	0	0	0.02699	0	0	0	0	0	0	0	0	0	0	0	0.00622	0.37485	0	0	0	0	0	0	0	0	0	0	0.00261	0	0	0	0.00031	0	0	0	0	0	0.00209	0	0	0	0	0.00904	0	0	0	0	0	0	0	0	0	0	0.023	0	0	0	0	0	0	0.00084	0	0.00163	0	0	0.02187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00708	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0.00136	0	0	0	0.02655	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0	0	0	0.00701	0.00441	0	0	0	0.00338	0	0.00432	0	0.54513	0.00038	0	0	0	0	0	0.02296	0.00291	0	0	0	0.18004	0	0.03288	0	0	0.00804	0	0.43998	0	0.02181	0.1391	0.00331	0	0	0.00245	0	0.08782	0	0	0	0	0.0031	0	0	0	0	0	0.00895	0	0	0	0.01224	0	0	0.00105	0.02345	0	0	0	0	0	0	0.00288	0	0.00565	0.00325	0	0.0598	0	0	0	0.00989	4e-04	1.65345	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95948	0	0	0.01142	0	0	0	0	0.00132	0.01187	0.17093	0	0	0.0017	0	0.10674	0.00895	0	0	0	0	0	0.25458	0	0	0	0.00503	0	0.00254	0.00177	0.01194	0.01012	0	0	0	0.05214	0.04224	0.00411	0.15517	0	0	0	0	0.02411	0	0	0.00189	0.02578	0	0	0.00194	0	0.00081	0	0.02005	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122	0	0	0	0	0	0	0	0	0	0	0	0.00307	0	0	0	0	0	0	0	0	0	0.01303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00185	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00221	0	0	0.00273	0.00722	0	0	0	0	0.00196	0.00171	0.00145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00216	0	0	0	0	0	0.00291	0	0.00378	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02989	0	0	0	0	0	0	0	0.00247	0.00359	0	0	0	0	0	0	0.00236	0	0.00325	0	0.00849	0	0	0	0	0	0	0.0027	0	0.00198	0	0	0.00242
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0	0	0.02377	0.81543	0.1367	0.32823	0.00782	0.0456	0.21367	0.00438	0.48185	0.10682	0.70365	0.10691	0.46844	0.04735	0	0.01821	0.77138	0.02205	0	0.26845	0.02908	0.04328	1.14981	0.48014	0.92396	0.06736	1.63986	0.01504	0.0722	0.05761	0.01979	1.36683	0.11136	0.02662	0.06495	0.08551	0	0	0.00034	0	0	0.03126	0.05258	14.2572	0.00969	0.17273	0	0.0753	6.17529	0.04006	0.13739	0	0.12568	0.56668	0.10383	0.02431	0.3872	0.36068	2.96184	0.29106	0.06928	1.72141	0.04581	0.47514	0.13678	0	0	0.06516	0.10552	0.00049	0.04562	0.27492	0.13731	0.53463	1.34357	2.55801	0.00154	0.20919	2.80118	0.04806	0.26702	7e-05	0.01626	0	0.63857	0.07803	0.0408	0.00707	0.20657	0.00973	0.51481	0.37428	0	1.19652	0	0.01219	0.00992	0.03577	0	0.00268	0	0.00845	0.0341	0.0805	0.20505	0.15069	0.0923	0	0.47901	0.00654	0.15891	0.24635	0.12851	0	0.1343	0	2.00501	0.3638	0.0722	0.56194	0	0.07614	1.20108	0.28783	0	0.08017	0	0.031	0.07282	0	0.16092	0.00251	0.00875	0.22274	0.28113	0	0.18934	0.26526	0.59469	0.024	0.05707	0.02563	0.15205	0.08726	0.3007
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0.02157	0	0	0	0	0	0	0	0.00198	0	0	0	0	0	0	0	0	7e-05	0	0	0.00337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028	0.00588	0	0	0.00939	0	0	0	0.00043	0	0	0	0	0	0	0.00211	0	0	0	0	0	0.00163	0	0	0	0.00426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00236	0	0	0	0	0.00095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0	0	0.00291	0	0	0	0	0	0	0	0.00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01523	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00184	0	0	0	0	0.00166	0	0	0.00138	0	0	0	0	0	0	0	0	0	0.00752	0	0	0.00311	0	0	0	0	0	0	0.00144	0.02015	0	0	0	0	0.00332	0	0	0	0	0.00222	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	0	0	0	0	0	0.00087	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0.00048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0	0	0	0	0	0	0	0	0	0	0.02048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00432	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0.01057	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01338	0	0	0	0	0	0	0	0	0.00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00194	0	0	0	0.00082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
